Name,Role,Team,Team_Code,Image_URL
MS Dhoni,WK-Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/57.png
Dewald Brevis,Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/797.png
Devon Conway,Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/601.png
Rahul Tripathi,Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/188.png
Shaik Rasheed,Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/778.png
Vansh Bedi,WK-Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/3558.png
Andre Siddarth,Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/3157.png
Ayush Mhatre,Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/3497.png
Urvil Patel,WK-Batter,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/assets/images/Default-Men.png
Rachin Ravindra,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/724.png
Ravichandran Ashwin,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/45.png
Vijay Shankar,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/61.png
Sam Curran,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/138.png
Anshul Kamboj,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/3106.png
Deepak Hooda,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/215.png
Jamie Overton,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/1216.png
Kamlesh Nagarkoti,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/146.png
Ramakrishna Ghosh,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/3559.png
Ravindra Jadeja,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/46.png
Shivam Dube,All-Rounder,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/211.png
Khaleel Ahmed,Bowler,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png
Noor Ahmad,Bowler,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png
Mukesh Choudhary,Bowler,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/970.png
Nathan Ellis,Bowler,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/633.png
Shreyas Gopal,Bowler,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/192.png
Matheesha Pathirana,Bowler,Chennai Super Kings,CSK,https://documents.iplt20.com/ipl/IPLHeadshot2025/1014.png
KL Rahul,WK-Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/19.png
Jake Fraser-McGurk,Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/3115.png
Karun Nair,Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/131.png
Faf du Plessis,Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/94.png
Donovan Ferreira,WK-Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/2033.png
Abishek Porel,WK-Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/1580.png
Tristan Stubbs,WK-Batter,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/1017.png
Axar Patel,All-Rounder,Delhi Capitals,DC,https://documents.iplt20.com/ipl/IPLHeadshot2025/110.png
