code,name
5334,Aaron Finch
6161,Michael Klinger
530011,Travis Head
5961,Moises Henriques
500268,Ashton Turner
270484,James Faulkner
429754,Niroshan Dickwella
50747,Upul Tharanga
304735,Dilshan Munaweera
360456,Asela Gunaratne
268740,Seekkuge Prasanna
7252,Tim Paine
489889,Pat Cummins
629074,Kusal Mendis
49535,Nuwan Kulasekara
437316,Dasun Shanaka
321777,David Miller
230559,Kieron Pollard
269280,Reeza Hendricks
337790,Rassie van der Dussen
322810,Cameron Delport
540316,Andile Phehlukwayo
221140,David Wiese
600498,Aiden Markram
327830,Dwaine Pretorius
44932,Jean-Paul Duminy
43906,Hashim Amla
299572,Sikandar Raza
422108,KL Rahul
33141,Ambati Rayudu
398506,Mandeep Singh
290630,Manish Pandey
290716,Kedar Jadhav
28081,MS Dhoni
554691,Axar Patel
290727,Rishi Dhawan
333066,Johnson Charles
51862,Andre Fletcher
8180,Shane Watson
5939,Michael Hussey
53115,Daren Sammy
53116,Lendl Simmons
431901,Evin Lewis
44828,Faf du Plessis
259410,Ahmed Shehzad
42657,Shoaib Malik
604302,Nicholas Pooran
53118,Dwayne Smith
326637,Chris Lynn
670025,Shimron Hetmyer
37737,Brendon McCullum
232359,Colin Munro
52917,Denesh Ramdin
317273,Umar Akmal
51439,Dwayne Bravo
230558,Sunil Narine
51880,Chris Gayle
227758,Imad Wasim
47492,Dale Steyn
226492,Martin Guptill
233514,Thisara Perera
43265,Sohail Tanvir
44936,AB de Villiers
53191,Jerome Taylor
276298,Andre Russell
56194,Tamim Iqbal
280734,Imrul Kayes
373538,Sabbir Rahman
436677,Soumya Sarkar
56025,Mahmudullah
550133,Mosaddek Hossain
56007,Mashrafe Mortaza
277662,Corey Anderson
707113,Tom Bruce
55395,Colin de Grandhomme
7502,Luke Ronchi
502714,Mitchell Santner
379143,Quinton de Kock
439952,Chris Morris
232364,Tim Southee
24598,Eoin Morgan
298438,Jason Roy
230371,Ben Cutting
901157,Arjun Nair
308798,D'Arcy Short
4451,George Bailey
8119,Adam Voges
325026,Glenn Maxwell
6683,Shaun Marsh
325012,Marcus Stoinis
603410,Ben McDermott
457249,Carlos Brathwaite
557295,Hilton Cartwright
826679,Sam Heazlett
9310,Tim Bresnan
267479,Stiaan van Zyl
308967,Jos Buttler
19264,Liam Plunkett
52983,Marlon Samuels
253802,Virat Kohli
33335,Suresh Raina
36084,Yuvraj Singh
311158,Ben Stokes
8917,Moeen Ali
931581,Rishabh Pant
419873,Mohammad Shahzad
25913,Mohammad Nabi
524049,Najibullah Zadran
793463,Rashid Khan
34102,Rohit Sharma
277916,Ajinkya Rahane
232491,Anwar Ali
42639,Shahid Afridi
259551,Junaid Khan
348144,Babar Azam
373696,Mominul Haque
18632,Samit Patel
629063,Mehidy Hasan Miraz
37004,James Franklin
55894,Farhad Reza
270135,Ariful Haque
55944,Jahurul Islam
380354,Anamul Haque
56029,Mushfiqur Rahim
228210,Mehedi Maruf
10582,Ravi Bopara
629058,Najmul Hossain Shanto
549947,Al-Amin
629070,Mohammad Saifuddin
49700,Jeevan Mendis
56053,Nadif Chowdhury
300617,Rony Talukdar
345825,Chaturanga de Silva
421892,Tanbir Hayder
935995,Afif Hossain
288617,Ross Whiteley
38699,Ross Taylor
669855,Jofra Archer
12454,Joe Denly
247235,Chris Woakes
307808,Rohan Mustafa
738445,Mohammad Shahzad
25613,Amjad Javed
974719,Muhammad Usman
533862,Mohammad Naveed
245490,Ahmed Raza
219889,David Warner
625964,Tim Seifert
323389,Mohammad Rizwan
41378,Misbah-ul-Haq
28235,Shikhar Dhawan
497121,Deepak Hooda
27223,Stuart Binny
32242,Parthiv Patel
604527,Nitish Rana
398438,Mayank Agarwal
267192,Steven Smith
30045,Dinesh Karthik
28763,Gautam Gambhir
35565,Manoj Tiwary
279810,Wriddhiman Saha
277237,Iqbal Abdulla
530773,Pawan Negi
398439,Karun Nair
425943,Sanju Samson
31107,Amit Mishra
30732,Praveen Kumar
35582,Robin Uthappa
32498,Yusuf Pathan
446507,Suryakumar Yadav
29264,Harbhajan Singh
447261,Deepak Chahar
32102,Naman Ojha
477021,Vijay Shankar
537119,Mohit Sharma
475281,Shardul Thakur
642519,Shreyas Iyer
720471,Ishan Kishan
49764,Angelo Mathews
234675,Ravindra Jadeja
6033,Mitchell Johnson
550215,Kagiso Rabada
500360,Akshdeep Nath
376116,Umesh Yadav
30288,Karn Sharma
32685,Irfan Pathan
35390,Saurabh Tiwary
279554,Ishank Jaggi
32966,Piyush Chawla
591650,Ankit Rajpoot
670035,Brandon King
26421,Ravichandran Ashwin
233802,Ashan Priyanjan
328026,Isuru Udana
395057,Seth Rance
331375,Hamish Rutherford
381743,Daryl Mitchell
539511,Henry Nicholls
345821,Danushka Gunathilaka
629076,Sadeera Samarawickrama
50802,Mahela Udawatte
212756,Sachith Pathirana
784379,Wanindu Hasaranga
932665,Tanvir Islam
714451,Shivam Dube
1070173,Shubman Gill
237095,Murali Vijay
1070168,Prithvi Shaw
599035,Leo Fransisco
1082298,Ashan Randika
512246,Janith Silva
1070036,Himasha Liyanage
596303,Lakshan Edirisinghe
697159,Dushan Vimukthi
281881,Janaka Sampath
1028653,Vishva Chathuranga
1033279,Mishen Silva
792587,Manelker De Silva
465793,Dhananjaya de Silva
394871,Ramith Rambukwella
784369,Avishka Fernando
49920,Dilruwan Perera
693975,Sahan Arachchige
300629,Angelo Perera
396566,Matheesha Perera
1070059,Sameera Sadamal
49843,Suresh Niroshan
429858,Eranga Rathnayake
596145,Pasindu Madushan
654297,Lakshan Jayasinghe
1070083,Vihanga Kalhara
300624,Srimantha Wijeyeratne
1133587,Nishantha Kumara
222220,Samith Dushantha
50238,Mahesh Priyadarshana
1070154,Nimesh Vimukthi
807469,Thikshila de Silva
422965,Shehan Jayasuriya
212754,Sachithra Serasinghe
821563,Lasith Lakshan
50737,Tillakaratne Sampath
1131891,Raminda Wijesooriya
